Creation Date,Vendor,Class of Service,Flight Number,Distance (miles),Departure Date,Departure Time,Departure Station Code,Departure Station Name,Departure City,Departure Country,Arrival Date,Arrival Time,Arrival Station Code,Arrival Station Name,Arrival City,Arrival Country,Itinerary Source,Booking Source,Ticket ID,Ticket Status
"Jan 1, 2017",American Airlines,ECONOMY,2116,398,"Jan 10, 2017",1730,DCA,Washington D.C. Ronald Reagan National Airport,"Washington, DISTRICT OF COLUMBIA, US",UNITED STATES,"Jan 10, 2017",1909,BOS,Boston Logan Intl Airport,"Boston, MASSACHUSETTS, US",UNITED STATES,Concur Travel,Apollo,0017913955118,Active
"Jan 1, 2017",JetBlue,ECONOMY,1054,398,"Jan 12, 2017",2000,DCA,Washington D.C. Ronald Reagan National Airport,"Washington, DISTRICT OF COLUMBIA, US",UNITED STATES,"Jan 12, 2017",2126,BOS,Boston Logan Intl Airport,"Boston, MASSACHUSETTS, US",UNITED STATES,Concur Travel,Apollo,2797913955061,Active
"Jan 3, 2017",American Airlines,ECONOMY,130,738,"Jan 22, 2017",1220,ORD,Chicago O'Hare Intl Airport,"Chicago, ILLINOIS, US",UNITED STATES,"Jan 22, 2017",1530,JFK,New York John F. Kennedy Intl Airport,"New York, NEW YORK, US",UNITED STATES,Concur Travel,Apollo,0017913955253,Active
"Jan 3, 2017",American Airlines,ECONOMY,1559,333,"Apr 2, 2017",1705,ORD,Chicago O'Hare Intl Airport,"Chicago, ILLINOIS, US",UNITED STATES,"Apr 2, 2017",1833,MSP,Minneapolis,"Minneapolis/St Paul, MINNESOTA, US",UNITED STATES,Concur Travel,Apollo,0017913955325,Active
"Jan 3, 2017",American Airlines,ECONOMY,2159,398,"Jan 27, 2017",600,BOS,Boston Logan Intl Airport,"Boston, MASSACHUSETTS, US",UNITED STATES,"Jan 27, 2017",744,DCA,Washington D.C. Ronald Reagan National Airport,"Washington, DISTRICT OF COLUMBIA, US",UNITED STATES,Concur Travel,Apollo,0017913955264,Active
"Jan 3, 2017",American Airlines,ECONOMY,2224,865,"Apr 5, 2017",1154,ORD,Chicago O'Hare Intl Airport,"Chicago, ILLINOIS, US",UNITED STATES,"Apr 5, 2017",1510,BOS,Boston Logan Intl Airport,"Boston, MASSACHUSETTS, US",UNITED STATES,Concur Travel,Apollo,0017913955325,Active
"Jan 3, 2017",American Airlines,ECONOMY,333,"2,607","Jan 31, 2017",1200,BOS,Boston Logan Intl Airport,"Boston, MASSACHUSETTS, US",UNITED STATES,"Jan 31, 2017",1547,LAX,Los Angeles Intl Airport,"Los Angeles, CALIFORNIA, US",UNITED STATES,Concur Travel,Apollo,0017913955207,Active
"Jan 3, 2017",American Airlines,ECONOMY,333,"2,607","Jan 31, 2017",1200,BOS,Boston Logan Intl Airport,"Boston, MASSACHUSETTS, US",UNITED STATES,"Jan 31, 2017",1547,LAX,Los Angeles Intl Airport,"Los Angeles, CALIFORNIA, US",UNITED STATES,Concur Travel,Apollo,0017913955310,Active
"Jan 3, 2017",American Airlines,ECONOMY,333,"2,607","Jan 31, 2017",1200,BOS,Boston Logan Intl Airport,"Boston, MASSACHUSETTS, US",UNITED STATES,"Jan 31, 2017",1547,LAX,Los Angeles Intl Airport,"Los Angeles, CALIFORNIA, US",UNITED STATES,Concur Travel,Apollo,2797913955215,Active
"Jan 3, 2017",Delta,Economy,138,"3,933","Feb 1, 2017",2054,DTW,Detroit,"Detroit, MICHIGAN, US",UNITED STATES,"Feb 2, 2017",1040,AMS,Amsterdam,"Amsterdam, NL",NETHERLANDS,Concur Travel,Apollo,0067913955269,Active
